data,algoritmo,n,caso,tempo,memoria
2024-07-03 21:01:35,merge_sort,100,best,0.00022849999368190765,0.23281097412109375
2024-07-03 21:01:35,merge_sort,100,worst,0.00016620001406408846,0.025583267211914062
2024-07-03 21:01:35,merge_sort,100,average,0.00017590000061318278,0.06501808166503906
2024-07-03 21:01:47,merge_sort,1000,best,0.01432270000805147,0.23281097412109375
2024-07-03 21:01:47,merge_sort,1000,worst,0.020203499996569008,0.025583267211914062
2024-07-03 21:01:47,merge_sort,1000,average,0.012165320006897674,0.06501808166503906
2024-07-03 21:01:56,merge_sort,10000,best,0.1905657000024803,0.3621377944946289
2024-07-03 21:01:56,merge_sort,10000,worst,0.19607800000812858,0.15442943572998047
2024-07-03 21:01:56,merge_sort,10000,average,0.19017977999756114,0.19386425018310546
2024-07-03 21:03:47,merge_sort,100000,best,2.429269000014756,1.735428810119629
2024-07-03 21:03:50,merge_sort,100000,worst,2.461876299988944,1.5277204513549805
2024-07-03 21:03:52,merge_sort,100000,average,2.4408571399981156,1.5671552658081054
2024-07-03 21:04:31,merge_sort,1000000,best,32.535948100005044,15.468338966369629
2024-07-03 21:05:04,merge_sort,1000000,worst,33.342829700006405,15.26063060760498
2024-07-03 21:05:38,merge_sort,1000000,average,31.94625485999277,15.300065422058106
2024-07-03 21:09:29,merge_sort,10000000,best,407.36350800000946,152.79744052886963
2024-07-03 21:16:16,merge_sort,10000000,worst,428.7546389999916,152.58973217010498
2024-07-03 21:23:30,merge_sort,10000000,average,363.64745495999813,152.6291669845581
2024-07-05 14:49:51,quick_sort_random,100,best,0.0001,0.0008392333984375
2024-07-05 14:49:51,quick_sort_random,100,worst,0.009264230728149414,0.0008392333984375
2024-07-05 14:49:51,quick_sort_random,100,average,0.0003927707672119141,0.00084991455078125
2024-07-05 14:49:51,quick_sort_random,1000,best,0.013640165328979492,0.008678436279296875
2024-07-05 14:49:52,quick_sort_random,1000,worst,0.015971899032592773,0.008586883544921875
2024-07-05 14:49:52,quick_sort_random,1000,average,0.01694517135620117,0.008592987060546875
2024-07-05 22:10:43,quick_sort_random,10000,best,0.2020769999944605,0.2870454788208008
2024-07-05 22:10:44,quick_sort_random,10000,worst,0.22903990000486374,0.07930660247802734
2024-07-05 22:10:44,quick_sort_random,10000,average,0.21580757999327033,0.11882076263427735
2024-07-05 14:49:53,quick_sort_random,100000,best,2.5514214038848877,0.7647514343261719
2024-07-05 14:49:56,quick_sort_random,100000,worst,2.692572593688965,0.7648735046386719
2024-07-05 14:49:58,quick_sort_random,100000,average,2.6826204299926757,0.7649162292480469
2024-07-05 15:26:12,quick_sort_random,1000000,best,37.80706769999233,7.775317192077637
2024-07-05 15:26:50,quick_sort_random,1000000,worst,40.52817159998813,7.775059700012207
2024-07-05 15:27:31,quick_sort_random,1000000,average,42.586387260002084,7.774578285217285
2024-07-05 22:35:21,quick_sort_random,10000000,best,468.36151379998773,76.5061616897583
